S.No,Date,City,Country,Customer Type,Gender,Product Category,Product,SKU,Unit Cost,Sales Price,Quantity,Cost of Goods Sold,Discount,Payment Method,Revenue,Profit
16,29-06-2024,Nizamabad,India,Member,Female,Electronics,Smartphone,1001,"? 25,000.00","? 32,500.00",7,175000,"? 4,875.00",Credit Card,"? 2,27,500.00","? 52,500.00"
17,29-06-2024,Bokaro,India,Member,Female,Groceries,Juice (1L),1032,? 90.00,? 117.00,7,630,? 90.72,Credit Card,? 756.00,? 126.00
18,29-06-2024,Tenali,India,Normal,Male,Clothing,Shirt,1010,? 900.00,"? 1,170.00",4,3600,? 117.00,Cash,"? 4,500.00",? 900.00
19,29-06-2024,Dubai,UAE,Normal,Female,Groceries,Cooking Oil,1028,? 140.00,? 182.00,4,560,? 50.96,Credit Card,? 728.00,? 168.00
20,29-06-2024,Cologne,Germany,Member,Male,Electronics,Headphones,1003,"? 3,500.00","? 4,550.00",6,21000,? 455.00,Credit Card,"? 26,250.00","? 5,250.00"
21,29-06-2024,Umm Al Quwain,UAE,Normal,Male,Clothing,Jeans,1018,"? 1,800.00","? 2,340.00",4,7200,? 234.00,E-Wallet,"? 9,360.00","? 2,160.00"
22,29-06-2024,Bhopal,India,Normal,Male,Groceries,Fruits,1024,? 80.00,? 104.00,5,400,? 26.00,Cash,? 520.00,? 120.00
23,29-06-2024,Toronto,Canada,Normal,Male,Electronics,Bluetooth Speaker,1005,"? 2,200.00","? 2,860.00",6,13200,? 286.00,Credit Card,"? 16,500.00","? 3,300.00"
24,29-06-2024,Baltimore,USA,Member,Female,Groceries,Coffee (200g),1033,? 250.00,? 325.00,4,1000,? 100.00,Cash,"? 1,150.00",? 150.00
25,29-06-2024,Ras Al Khaimah,UAE,Normal,Female,Clothing,Jeans,1018,"? 1,800.00","? 2,340.00",5,9000,? 234.00,E-Wallet,"? 10,800.00","? 1,800.00"
26,29-06-2024,Jalgaon,India,Normal,Female,Groceries,Energy Drink,1034,? 100.00,? 130.00,5,500,? 40.25,Credit Card,? 575.00,? 75.00
27,29-06-2024,Agra,India,Member,Male,Electronics,Power Bank,1006,"? 1,200.00","? 1,560.00",5,6000,? 156.00,E-Wallet,"? 7,800.00","? 1,800.00"
28,29-06-2024,Fujairah,UAE,Normal,Female,Electronics,Tablet,1002,"? 18,000.00","? 23,400.00",8,144000,"? 3,510.00",Cash,"? 1,87,200.00","? 43,200.00"
29,29-06-2024,Karimnagar,India,Normal,Female,Stationery,Pen,1036,? 10.00,? 13.00,3,30,? 1.80,Cash,? 36.00,? 6.00
30,30-06-2024,Moradabad,India,Normal,Male,Groceries,Fruits,1024,? 80.00,? 104.00,4,320,? 41.60,E-Wallet,? 416.00,? 96.00
31,30-06-2024,Kota,India,Normal,Male,Household Items,Laundry Basket,1050,? 450.00,? 585.00,2,900,? 81.90,Credit Card,"? 1,170.00",? 270.00
32,30-06-2024,Leeds,UK,Normal,Female,Personal Care,Sanitary Pads,1058,? 100.00,? 130.00,1,100,? 12.50,E-Wallet,? 125.00,? 25.00
33,30-06-2024,Ahmedabad,India,Normal,Female,Stationery,Ruler,1044,? 15.00,? 20.00,7,105,? 8.82,Credit Card,? 126.00,? 21.00
34,30-06-2024,Sheffield,UK,Member,Female,Personal Care,Sanitary Pads,1058,? 100.00,? 130.00,9,900,? 100.00,E-Wallet,"? 1,170.00",? 270.00
35,30-06-2024,Gold Coast,Australia,Normal,Male,Electronics,USB Cable,1008,? 250.00,? 325.00,7,1750,? 100.00,Credit Card,"? 2,275.00",? 525.00
36,30-06-2024,Sheffield,UK,Normal,Male,Groceries,Rice,1020,? 60.00,? 78.00,7,420,? 38.22,Credit Card,? 546.00,? 126.00
37,30-06-2024,Al Ain,UAE,Normal,Female,Household Items,Detergent Powder,1045,? 120.00,? 156.00,7,840,? 54.60,Cash,"? 1,092.00",? 252.00
38,30-06-2024,Munich,Germany,Member,Male,Stationery,Pencil,1038,? 5.00,? 7.00,9,45,? 8.78,E-Wallet,? 58.50,? 13.50
39,30-06-2024,Etawah,India,Normal,Female,Personal Care,Sanitary Pads,1058,? 100.00,? 130.00,7,700,? 63.70,Credit Card,? 910.00,? 210.00
40,30-06-2024,Hamburg,Germany,Normal,Female,Electronics,Laptop,1000,"? 55,000.00","? 71,500.00",3,165000,"? 9,900.00",Cash,"? 1,98,000.00","? 33,000.00"
41,30-06-2024,Portland,USA,Normal,Male,Groceries,Soft Drink (500ml),1030,? 40.00,? 52.00,3,120,? 10.92,Credit Card,? 156.00,? 36.00
42,30-06-2024,Bhagalpur,India,Normal,Male,Electronics,Tablet,1002,"? 18,000.00","? 23,400.00",7,126000,"? 3,510.00",E-Wallet,"? 1,44,900.00","? 18,900.00"
43,30-06-2024,Sambalpur,India,Normal,Female,Groceries,Juice (1L),1032,? 90.00,? 117.00,3,270,? 16.88,Cash,? 337.50,? 67.50
44,30-06-2024,Kolhapur,India,Normal,Female,Clothing,Socks,1016,? 100.00,? 130.00,4,400,? 52.00,E-Wallet,? 520.00,? 120.00
45,30-06-2024,New York,USA,Normal,Female,Electronics,Power Bank,1006,"? 1,200.00","? 1,560.00",4,4800,? 156.00,Credit Card,"? 6,240.00","? 1,440.00"
46,30-06-2024,Adelaide,Australia,Normal,Male,Electronics,Monitor,1009,"? 12,000.00","? 15,600.00",6,72000,"? 2,340.00",Credit Card,"? 93,600.00","? 21,600.00"
47,30-06-2024,Ludhiana,India,Normal,Female,Clothing,Pants,1011,"? 1,500.00","? 1,950.00",3,4500,? 195.00,Credit Card,"? 5,400.00",? 900.00
48,30-06-2024,Abu Dhabi,UAE,Normal,Male,Clothing,Skirt,1013,? 800.00,"? 1,040.00",2,1600,? 104.00,Credit Card,"? 2,000.00",? 400.00
49,30-06-2024,Ahmedabad,India,Normal,Male,Electronics,Laptop,1000,"? 55,000.00","? 71,500.00",7,385000,"? 10,725.00",Credit Card,"? 5,00,500.00","? 1,15,500.00"
50,30-06-2024,Palghar,India,Normal,Male,Electronics,Power Bank,1006,"? 1,200.00","? 1,560.00",10,12000,? 156.00,Cash,"? 15,600.00","? 3,600.00"
51,30-06-2024,Bardhaman,India,Normal,Male,Groceries,Salt,1027,? 20.00,? 26.00,6,120,? 7.80,Cash,? 156.00,? 36.00
52,30-06-2024,Bhagalpur,India,Normal,Female,Electronics,Monitor,1009,"? 12,000.00","? 15,600.00",4,48000,"? 2,340.00",Cash,"? 62,400.00","? 14,400.00"
53,30-06-2024,Fortaleza,Brazil,Normal,Female,Groceries,Milk,1021,? 60.00,? 78.00,6,360,? 22.50,Cash,? 450.00,? 90.00
54,30-06-2024,Cologne,Germany,Normal,Male,Groceries,Packaged Water (1L),1031,? 20.00,? 26.00,2,40,? 3.64,Credit Card,? 52.00,? 12.00
55,30-06-2024,Nizamabad,India,Normal,Male,Clothing,Jacket,1012,"? 2,500.00","? 3,250.00",2,5000,? 325.00,Credit Card,"? 6,250.00","? 1,250.00"
56,30-06-2024,New York,USA,Normal,Female,Electronics,Headphones,1003,"? 3,500.00","? 4,550.00",7,24500,? 455.00,Cash,"? 29,400.00","? 4,900.00"
57,30-06-2024,Surat,India,Normal,Female,Clothing,T-shirt,1017,? 500.00,? 650.00,4,2000,? 100.00,Credit Card,"? 2,600.00",? 600.00
58,30-06-2024,Milwaukee,USA,Normal,Female,Household Items,Dish Soap,1047,? 80.00,? 104.00,5,400,? 36.40,Credit Card,? 520.00,? 120.00
59,01-07-2024,Canberra,Australia,Normal,Female,Groceries,Wheat Flour,1025,? 55.00,? 72.00,4,220,? 19.25,Credit Card,? 275.00,? 55.00
60,01-07-2024,Abu Dhabi,UAE,Normal,Female,Groceries,Cooking Oil,1028,? 140.00,? 182.00,9,1260,? 100.00,E-Wallet,"? 1,638.00",? 378.00
61,01-07-2024,Fortaleza,Brazil,Member,Female,Clothing,Pants,1011,"? 1,500.00","? 1,950.00",5,7500,? 195.00,Credit Card,"? 9,750.00","? 2,250.00"
62,01-07-2024,Sambalpur,India,Normal,Female,Electronics,Bluetooth Speaker,1005,"? 2,200.00","? 2,860.00",7,15400,? 286.00,E-Wallet,"? 20,020.00","? 4,620.00"
63,01-07-2024,Allahabad,India,Normal,Female,Groceries,Juice (1L),1032,? 90.00,? 117.00,6,540,? 35.10,Cash,? 702.00,? 162.00
64,01-07-2024,Al Ain,UAE,Normal,Male,Electronics,Monitor,1009,"? 12,000.00","? 15,600.00",3,36000,"? 2,340.00",Credit Card,"? 46,800.00","? 10,800.00"
65,01-07-2024,Indianapolis,USA,Member,Male,Personal Care,Sanitary Pads,1058,? 100.00,? 130.00,10,1000,? 100.00,Cash,"? 1,300.00",? 300.00
66,01-07-2024,Kolkata,India,Normal,Male,Groceries,Packaged Water (1L),1031,? 20.00,? 26.00,6,120,? 10.50,Credit Card,? 150.00,? 30.00
67,01-07-2024,San Jose,USA,Normal,Female,Electronics,Laptop,1000,"? 55,000.00","? 71,500.00",8,440000,"? 10,725.00",Cash,"? 5,72,000.00","? 1,32,000.00"
68,01-07-2024,Nizamabad,India,Normal,Female,Groceries,Bread,1022,? 40.00,? 52.00,5,200,? 18.20,Credit Card,? 260.00,? 60.00
69,01-07-2024,Jalandhar,India,Member,Male,Electronics,Monitor,1009,"? 12,000.00","? 15,600.00",7,84000,"? 2,340.00",Credit Card,"? 1,09,200.00","? 25,200.00"
70,01-07-2024,Berlin,Germany,Member,Female,Clothing,Cap,1019,? 300.00,? 390.00,5,1500,? 100.00,Cash,"? 1,950.00",? 450.00
71,01-07-2024,Kharagpur,India,Normal,Female,Groceries,Salt,1027,? 20.00,? 26.00,5,100,? 8.75,Credit Card,? 125.00,? 25.00
72,01-07-2024,Umm Al Quwain,UAE,Normal,Female,Groceries,Sugar,1026,? 45.00,? 59.00,1,45,? 3.78,Credit Card,? 54.00,? 9.00
73,01-07-2024,Tumkur,India,Normal,Male,Electronics,Monitor,1009,"? 12,000.00","? 15,600.00",3,36000,"? 2,340.00",Cash,"? 46,800.00","? 10,800.00"
74,01-07-2024,Baltimore,USA,Normal,Female,Clothing,Jacket,1012,"? 2,500.00","? 3,250.00",10,25000,? 325.00,Cash,"? 31,250.00","? 6,250.00"
75,01-07-2024,São Paulo,Brazil,Member,Male,Electronics,Bluetooth Speaker,1005,"? 2,200.00","? 2,860.00",4,8800,? 286.00,Cash,"? 11,440.00","? 2,640.00"
76,01-07-2024,Chennai,India,Normal,Male,Groceries,Bread,1022,? 40.00,? 52.00,2,80,? 5.20,Cash,? 104.00,? 24.00
77,01-07-2024,Mumbai,India,Member,Female,Groceries,Milk,1021,? 60.00,? 78.00,4,240,? 28.80,Cash,? 288.00,? 48.00
78,01-07-2024,São Paulo,Brazil,Normal,Female,Groceries,Wheat Flour,1025,? 55.00,? 72.00,3,165,? 21.45,E-Wallet,? 214.50,? 49.50
79,01-07-2024,Stuttgart,Germany,Member,Female,Electronics,Charger,1007,? 800.00,"? 1,040.00",4,3200,? 104.00,Cash,"? 4,000.00",? 800.00
80,01-07-2024,Rewa,India,Normal,Male,Groceries,Cooking Oil,1028,? 140.00,? 182.00,4,560,? 50.96,Credit Card,? 728.00,? 168.00
81,01-07-2024,Cologne,Germany,Normal,Male,Groceries,Salt,1027,? 20.00,? 26.00,4,80,? 5.20,Cash,? 104.00,? 24.00
82,01-07-2024,Bhopal,India,Member,Female,Groceries,Milk,1021,? 60.00,? 78.00,4,240,? 30.00,Cash,? 300.00,? 60.00
83,01-07-2024,New York,USA,Normal,Male,Groceries,Rice,1020,? 60.00,? 78.00,3,180,? 11.70,Cash,? 234.00,? 54.00
84,01-07-2024,Kansas City,USA,Normal,Female,Groceries,Packaged Water (1L),1031,? 20.00,? 26.00,7,140,? 9.10,Cash,? 182.00,? 42.00
85,01-07-2024,Surat,India,Normal,Male,Groceries,Juice (1L),1032,? 90.00,? 117.00,2,180,? 22.50,E-Wallet,? 225.00,? 45.00
86,01-07-2024,Los Angeles,USA,Normal,Male,Electronics,Tablet,1002,"? 18,000.00","? 23,400.00",5,90000,"? 3,510.00",Cash,"? 1,12,500.00","? 22,500.00"
87,01-07-2024,Las Vegas,USA,Normal,Female,Groceries,Salt,1027,? 20.00,? 26.00,4,80,? 7.28,Credit Card,? 104.00,? 24.00
88,02-07-2024,Chennai,India,Normal,Male,Personal Care,Razor,1057,? 50.00,? 65.00,1,50,? 4.55,Credit Card,? 65.00,? 15.00
89,02-07-2024,Sangli,India,Member,Female,Electronics,Bluetooth Speaker,1005,"? 2,200.00","? 2,860.00",6,13200,? 286.00,Credit Card,"? 17,160.00","? 3,960.00"
90,02-07-2024,Nashik,India,Normal,Male,Clothing,Pants,1011,"? 1,500.00","? 1,950.00",2,3000,? 195.00,E-Wallet,"? 3,900.00",? 900.00
91,02-07-2024,Bardhaman,India,Normal,Female,Groceries,Tea,1029,? 550.00,? 715.00,2,1100,? 100.00,E-Wallet,"? 1,320.00",? 220.00
92,02-07-2024,Al Ain,UAE,Normal,Male,Stationery,Notebook,1035,? 50.00,? 65.00,5,250,? 22.75,Credit Card,? 325.00,? 75.00
93,02-07-2024,Salvador,Brazil,Normal,Female,Electronics,Tablet,1002,"? 18,000.00","? 23,400.00",6,108000,"? 3,510.00",Credit Card,"? 1,40,400.00","? 32,400.00"
94,02-07-2024,Baltimore,USA,Normal,Male,Stationery,Eraser,1039,? 3.00,? 4.00,8,24,? 1.50,Cash,? 30.00,? 6.00
95,02-07-2024,Delhi,India,Member,Female,Groceries,Milk,1021,? 60.00,? 78.00,3,180,? 22.50,Cash,? 225.00,? 45.00
96,02-07-2024,Thiruvananthapuram,India,Normal,Male,Clothing,Jacket,1012,"? 2,500.00","? 3,250.00",2,5000,? 325.00,Credit Card,"? 5,750.00",? 750.00
97,02-07-2024,Austin,USA,Normal,Male,Electronics,Power Bank,1006,"? 1,200.00","? 1,560.00",2,2400,? 156.00,Credit Card,"? 3,120.00",? 720.00
98,02-07-2024,Vijayawada,India,Normal,Male,Clothing,Socks,1016,? 100.00,? 130.00,8,800,? 52.00,Cash,"? 1,040.00",? 240.00
99,02-07-2024,Fujairah,UAE,Member,Female,Groceries,Rice,1020,? 60.00,? 78.00,6,360,? 54.00,Credit Card,? 450.00,? 90.00
100,02-07-2024,Canberra,Australia,Normal,Male,Household Items,Broom,1048,? 90.00,? 117.00,5,450,? 29.25,Cash,? 585.00,? 135.00
101,02-07-2024,New York,USA,Normal,Male,Groceries,Fruits,1024,? 80.00,? 104.00,10,800,? 52.00,Cash,"? 1,040.00",? 240.00
102,02-07-2024,Bangalore,India,Normal,Female,Electronics,Laptop,1000,"? 55,000.00","? 71,500.00",4,220000,"? 10,725.00",Credit Card,"? 2,53,000.00","? 33,000.00"
103,02-07-2024,Jacksonville,USA,Normal,Female,Groceries,Wheat Flour,1025,? 55.00,? 72.00,7,385,? 35.04,Credit Card,? 500.50,? 115.50
104,02-07-2024,Brisbane,Australia,Normal,Male,Groceries,Eggs,1023,? 7.00,? 9.00,7,49,? 4.29,Credit Card,? 61.25,? 12.25
105,02-07-2024,Adelaide,Australia,Member,Female,Groceries,Tea,1029,? 550.00,? 715.00,4,2200,? 100.00,Cash,"? 2,860.00",? 660.00
106,02-07-2024,Seattle,USA,Normal,Male,Groceries,Juice (1L),1032,? 90.00,? 117.00,4,360,? 22.50,Cash,? 450.00,? 90.00
107,02-07-2024,Toronto,Canada,Member,Male,Household Items,Detergent Powder,1045,? 120.00,? 156.00,5,600,? 78.00,Cash,? 780.00,? 180.00
108,02-07-2024,Bokaro,India,Member,Female,Groceries,Soft Drink (500ml),1030,? 40.00,? 52.00,5,200,? 30.00,Credit Card,? 250.00,? 50.00
109,02-07-2024,Dresden,Germany,Normal,Female,Groceries,Energy Drink,1034,? 100.00,? 130.00,2,200,? 17.50,Credit Card,? 250.00,? 50.00
110,02-07-2024,Seattle,USA,Normal,Male,Groceries,Eggs,1023,? 7.00,? 9.00,9,63,? 7.88,E-Wallet,? 78.75,? 15.75
111,02-07-2024,Lucknow,India,Normal,Male,Electronics,Smartphone,1001,"? 25,000.00","? 32,500.00",6,150000,"? 4,875.00",E-Wallet,"? 1,72,500.00","? 22,500.00"
112,03-07-2024,Visakhapatnam,India,Member,Male,Personal Care,Razor,1057,? 50.00,? 65.00,5,250,? 31.25,Cash,? 312.50,? 62.50
113,03-07-2024,Etawah,India,Normal,Male,Clothing,T-shirt,1017,? 500.00,? 650.00,7,3500,? 100.00,Credit Card,"? 4,550.00","? 1,050.00"
114,03-07-2024,Seattle,USA,Normal,Male,Personal Care,Razor,1057,? 50.00,? 65.00,5,250,? 16.25,Cash,? 325.00,? 75.00
115,03-07-2024,Karimnagar,India,Normal,Female,Personal Care,Razor,1057,? 50.00,? 65.00,5,250,? 21.88,Credit Card,? 312.50,? 62.50
116,03-07-2024,Leipzig,Germany,Normal,Male,Electronics,Monitor,1009,"? 12,000.00","? 15,600.00",5,60000,"? 2,340.00",Cash,"? 75,000.00","? 15,000.00"
117,03-07-2024,Kolkata,India,Normal,Male,Groceries,Milk,1021,? 60.00,? 78.00,4,240,? 31.20,E-Wallet,? 312.00,? 72.00
118,03-07-2024,Ottawa,Canada,Normal,Male,Groceries,Soft Drink (500ml),1030,? 40.00,? 52.00,1,40,? 4.80,E-Wallet,? 48.00,? 8.00
119,03-07-2024,Jalandhar,India,Normal,Male,Electronics,Tablet,1002,"? 18,000.00","? 23,400.00",10,180000,"? 3,510.00",E-Wallet,"? 2,34,000.00","? 54,000.00"
120,03-07-2024,Bhagalpur,India,Member,Male,Groceries,Coffee (200g),1033,? 250.00,? 325.00,5,1250,? 100.00,E-Wallet,"? 1,562.50",? 312.50
121,03-07-2024,Fujairah,UAE,Normal,Female,Electronics,Laptop,1000,"? 55,000.00","? 71,500.00",5,275000,"? 10,725.00",Cash,"? 3,43,750.00","? 68,750.00"
122,03-07-2024,Atlanta,USA,Normal,Female,Groceries,Wheat Flour,1025,? 55.00,? 72.00,8,440,? 27.50,Cash,? 550.00,? 110.00
123,03-07-2024,Mysore,India,Member,Male,Stationery,Pencil,1038,? 5.00,? 7.00,9,45,? 5.63,Cash,? 56.25,? 11.25
124,03-07-2024,Kansas City,USA,Normal,Male,Electronics,Smartphone,1001,"? 25,000.00","? 32,500.00",5,125000,"? 4,875.00",Credit Card,"? 1,56,250.00","? 31,250.00"
125,03-07-2024,Pali,India,Normal,Female,Groceries,Milk,1021,? 60.00,? 78.00,5,300,? 39.00,E-Wallet,? 390.00,? 90.00
126,03-07-2024,San Diego,USA,Member,Female,Electronics,Charger,1007,? 800.00,"? 1,040.00",1,800,? 104.00,Cash,"? 1,040.00",? 240.00
127,03-07-2024,Vijayawada,India,Normal,Female,Personal Care,Face Wash,1055,? 150.00,? 195.00,7,1050,? 95.55,Credit Card,"? 1,365.00",? 315.00
128,03-07-2024,Quebec City,Canada,Member,Male,Groceries,Bread,1022,? 40.00,? 52.00,7,280,? 42.00,Credit Card,? 350.00,? 70.00
129,03-07-2024,Baltimore,USA,Normal,Male,Electronics,Laptop,1000,"? 55,000.00","? 71,500.00",4,220000,"? 10,725.00",Cash,"? 2,86,000.00","? 66,000.00"
130,03-07-2024,Denver,USA,Member,Male,Clothing,Cap,1019,? 300.00,? 390.00,5,1500,? 100.00,Cash,"? 1,950.00",? 450.00
131,03-07-2024,Sambalpur,India,Normal,Female,Personal Care,Razor,1057,? 50.00,? 65.00,6,300,? 27.30,Credit Card,? 390.00,? 90.00
132,03-07-2024,Dallas,USA,Normal,Female,Clothing,Shoes,1015,"? 2,000.00","? 2,600.00",5,10000,? 260.00,Cash,"? 13,000.00","? 3,000.00"
133,03-07-2024,Baranagar,India,Normal,Male,Electronics,Bluetooth Speaker,1005,"? 2,200.00","? 2,860.00",10,22000,? 286.00,Cash,"? 26,400.00","? 4,400.00"
134,03-07-2024,Vijayawada,India,Normal,Female,Electronics,Tablet,1002,"? 18,000.00","? 23,400.00",5,90000,"? 3,510.00",Credit Card,"? 1,17,000.00","? 27,000.00"
135,03-07-2024,Baranagar,India,Normal,Female,Groceries,Bread,1022,? 40.00,? 52.00,7,280,? 36.40,E-Wallet,? 364.00,? 84.00
136,03-07-2024,Nagpur,India,Normal,Male,Clothing,Socks,1016,? 100.00,? 130.00,8,800,? 46.00,Cash,? 920.00,? 120.00
137,03-07-2024,Phoenix,USA,Member,Male,Household Items,Toilet Cleaner,1046,? 95.00,? 124.00,5,475,? 61.75,Cash,? 617.50,? 142.50
138,03-07-2024,Bokaro,India,Normal,Female,Groceries,Coffee (200g),1033,? 250.00,? 325.00,6,1500,? 100.00,Credit Card,"? 1,950.00",? 450.00
139,03-07-2024,Bareilly,India,Normal,Male,Personal Care,Toothbrush,1054,? 25.00,? 33.00,4,100,? 6.50,Cash,? 130.00,? 30.00
140,03-07-2024,Montreal,Canada,Normal,Male,Groceries,Energy Drink,1034,? 100.00,? 130.00,6,600,? 52.50,Credit Card,? 750.00,? 150.00
141,03-07-2024,Milwaukee,USA,Member,Female,Clothing,Socks,1016,? 100.00,? 130.00,9,900,? 100.00,E-Wallet,"? 1,170.00",? 270.00
142,03-07-2024,Gandhinagar,India,Member,Male,Groceries,Tea,1029,? 550.00,? 715.00,5,2750,? 100.00,Cash,"? 3,575.00",? 825.00
143,04-07-2024,Mumbai,India,Normal,Male,Groceries,Tea,1029,? 550.00,? 715.00,5,2750,? 100.00,E-Wallet,"? 3,575.00",? 825.00
144,04-07-2024,Hobart,Australia,Member,Male,Groceries,Energy Drink,1034,? 100.00,? 130.00,5,500,? 75.00,Credit Card,? 625.00,? 125.00
145,04-07-2024,London,UK,Normal,Male,Groceries,Cooking Oil,1028,? 140.00,? 182.00,9,1260,? 78.75,Cash,"? 1,575.00",? 315.00
146,04-07-2024,Sheffield,UK,Member,Female,Household Items,Dustbin,1049,? 300.00,? 390.00,2,600,? 93.60,Credit Card,? 780.00,? 180.00
147,04-07-2024,Hamburg,Germany,Normal,Female,Electronics,Tablet,1002,"? 18,000.00","? 23,400.00",8,144000,"? 3,510.00",E-Wallet,"? 1,87,200.00","? 43,200.00"
148,04-07-2024,Manaus,Brazil,Normal,Male,Groceries,Eggs,1023,? 7.00,? 9.00,6,42,? 2.63,Cash,? 52.50,? 10.50
149,04-07-2024,Aligarh,India,Member,Female,Groceries,Sugar,1026,? 45.00,? 59.00,4,180,? 33.75,E-Wallet,? 225.00,? 45.00
150,04-07-2024,Ras Al Khaimah,UAE,Normal,Female,Groceries,Juice (1L),1032,? 90.00,? 117.00,5,450,? 58.50,E-Wallet,? 585.00,? 135.00
151,04-07-2024,Ottawa,Canada,Normal,Male,Groceries,Juice (1L),1032,? 90.00,? 117.00,4,360,? 32.76,Credit Card,? 468.00,? 108.00
152,04-07-2024,Bhopal,India,Member,Female,Electronics,Monitor,1009,"? 12,000.00","? 15,600.00",3,36000,"? 2,340.00",E-Wallet,"? 41,400.00","? 5,400.00"
153,04-07-2024,Melbourne,Australia,Normal,Female,Groceries,Packaged Water (1L),1031,? 20.00,? 26.00,6,120,? 10.92,Credit Card,? 156.00,? 36.00
154,04-07-2024,Ahmedabad,India,Member,Male,Groceries,Juice (1L),1032,? 90.00,? 117.00,4,360,? 56.16,Credit Card,? 468.00,? 108.00
155,04-07-2024,Jalgaon,India,Normal,Female,Electronics,Laptop,1000,"? 55,000.00","? 71,500.00",7,385000,"? 10,725.00",E-Wallet,"? 5,00,500.00","? 1,15,500.00"
156,04-07-2024,Delhi,India,Normal,Female,Clothing,Shoes,1015,"? 2,000.00","? 2,600.00",8,16000,? 260.00,E-Wallet,"? 20,800.00","? 4,800.00"
157,04-07-2024,Boston,USA,Normal,Female,Electronics,Monitor,1009,"? 12,000.00","? 15,600.00",3,36000,"? 2,340.00",Credit Card,"? 45,000.00","? 9,000.00"
158,04-07-2024,Ahmedabad,India,Member,Female,Personal Care,Shampoo,1051,? 180.00,? 234.00,5,900,? 100.00,Cash,"? 1,170.00",? 270.00
159,04-07-2024,Kolkata,India,Normal,Female,Groceries,Salt,1027,? 20.00,? 26.00,4,80,? 5.20,Cash,? 104.00,? 24.00
160,04-07-2024,Sheffield,UK,Normal,Male,Electronics,Power Bank,1006,"? 1,200.00","? 1,560.00",9,10800,? 156.00,E-Wallet,"? 12,420.00","? 1,620.00"
161,04-07-2024,San Diego,USA,Normal,Female,Stationery,Stapler,1042,? 70.00,? 91.00,4,280,? 35.00,E-Wallet,? 350.00,? 70.00
162,04-07-2024,Delhi,India,Member,Male,Groceries,Packaged Water (1L),1031,? 20.00,? 26.00,6,120,? 15.60,Cash,? 156.00,? 36.00
163,05-07-2024,Baranagar,India,Normal,Female,Electronics,Monitor,1009,"? 12,000.00","? 15,600.00",5,60000,"? 2,340.00",Cash,"? 78,000.00","? 18,000.00"
164,05-07-2024,Ottawa,Canada,Member,Male,Electronics,Monitor,1009,"? 12,000.00","? 15,600.00",8,96000,"? 2,340.00",E-Wallet,"? 1,20,000.00","? 24,000.00"
165,05-07-2024,Raichur,India,Normal,Female,Clothing,Shirt,1010,? 900.00,"? 1,170.00",7,6300,? 117.00,Credit Card,"? 8,190.00","? 1,890.00"
166,05-07-2024,Tumkur,India,Normal,Male,Clothing,T-shirt,1017,? 500.00,? 650.00,3,1500,? 100.00,Credit Card,"? 1,950.00",? 450.00
